arm,template_id,amplitude,family,reducer,combiner,full32_power,first16_minus_full32,interpretation
paired300,MIX_PLANAR,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_PLANAR,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_PLANAR,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_PLANAR,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_PLANAR,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_PLANAR,8.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_GENERIC,8.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.029375,-0.0024999999999999988,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0628125,0.0003125000000000072,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.2859375,-0.018437499999999996,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.881875,-0.0050000000000000044,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9978125,0.0009375000000000355,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,Q_AXIAL,8.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.036875,-0.0024999999999999953,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.03875,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.0478125,-0.0015625000000000014,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.155,-0.0006249999999999867,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.474375,0.00687500000000002,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
